Actor,Role,Obtained
Sarah-Nicole Robles,Luz,False
Alex Hirsch,King,False
Wendie Malick,Eda,False
Tati Gabrielle,Willow,False
Issac Ryan Brown,Gus,False
Mae Whitman,Amity,False
Matt Chapman,Steve,False
Cissy Jones,Lilith,False
Eden Riegel,Boscha,False
Kimberly Brooks,Skara,False
Matthew Rhys,Emperor Belos,False
Bumper Robinson,Principal Bump,False
Mela Lee,Kikimora,False
Dana Terrace,Dana Terrace,False
Ryan O'Flanagan,Edric Blight,False
Fryda Wolff,The Collector,False
Roger Craig Smith,Conspiracy Theorist,False
Elizabeth Grullon,Camila,False
Erica Lindbeck,Emira Blight,False
Avi Roque,Raine Whispers,False
Jorge Diaz,Mattholomule,False
Jim Pirri,Alador Blight,False
Debra Wilson,Terra Snapdragon,False
Rachael MacFarlane,Odalia Blight,False
Keston John,Darius,False
Michaela Dietz,Vee,False
Parvesh Cheena,Tibbles,False
Zeno Robinson,Hunter,True
