actor,date,event,location
Sarah-Nicole Robles,May 24th 2024,Momocon 2024,Atlanta
Sarah-Nicole Robles,Feb 29th 2024,Emerald City Comic Con 2024,Seattle (WA)
Sarah-Nicole Robles,Sep 1st 2023,Summer SacAnime 2023,Sacramento
Sarah-Nicole Robles,Aug 4th 2023,Comic Con Honolulu (2023),Honolulu
Sarah-Nicole Robles,Jul 20th 2023,Comic-Con International: San Diego (2023),San Diego (CA)
Sarah-Nicole Robles,May 25th 2023,Momocon 2023,Atlanta
Sarah-Nicole Robles,Apr 7th 2023,BABSCon 2023,San Francisco
Sarah-Nicole Robles,Feb 10th 2023,Kami-Con (2023),Birmingham (AL)
Sarah-Nicole Robles,Oct 6th 2022,New York Comic Con (2022),New York
Sarah-Nicole Robles,Oct 3rd 2019,New York Comic Con (2019),New York
Alex Hirsch,Oct 6th 2022,New York Comic Con (2022),New York
Alex Hirsch,Oct 3rd 2019,New York Comic Con (2019),New York
Wendie Malick,Oct 3rd 2019,New York Comic Con (2019),New York
Wendie Malick,Jan 14th 2019,SF Sketchfest Tribute: Carol Burnett (2019),San Francisco
Tati Gabrielle,Apr 27th 2023,Comic Con Cape Town (2023),Cape Town
Tati Gabrielle,Feb 4th 2022,Greendale (2022),Canceled
Tati Gabrielle,Jul 17th 2021,Comicpalooza 2021,Houston (TX)
Tati Gabrielle,Apr 24th 2021,One day in Greendale,Canceled
Tati Gabrielle,Nov 6th 2020,Greendale (2020),Canceled
Tati Gabrielle,Jun 28th 2020,Chilling Adventures of Sabrina – Wizard World Virtual Experiences (2020),Online / Virtual Convention
Tati Gabrielle,Jan 24th 2020,Unity Days 2020,Vancouver
Tati Gabrielle,Apr 13th 2019,Wellington Armageddon (2019),Wellington
Tati Gabrielle,Jan 4th 2019,Unity Days 2019,Vancouver
Tati Gabrielle,Feb 2nd 2018,Survival 3,London
Tati Gabrielle,Jun 2nd 2017,Polaris Con,Frankfurt
Mae Whitman,Feb 29th 2024,Emerald City Comic Con 2024,Seattle (WA)
Mae Whitman,Nov 10th 2023,Motor City Comic Con (November 2023),"Detroit, Novi (MI)"
Mae Whitman,Jul 27th 2023,GalaxyCon Raleigh 2023,Raleigh
Mae Whitman,May 20th 2023,Comic Con Revolution Ontario – California (2023),Ontario (CA)
Mae Whitman,Mar 31st 2023,C2E2 – Chicago Comic & Entertainment Expo (2023),Chicago
Mae Whitman,Jan 6th 2023,SacAnime Winter 2023,Sacramento
Mae Whitman,Oct 6th 2022,New York Comic Con (2022),New York
Mae Whitman,Jun 2nd 2022,ATX Festival Television (2022),Austin
Mae Whitman,Jun 4th 2020,ATX Festival Television (2020),Canceled
Cissy Jones,May 24th 2024,Momocon 2024,Atlanta
Cissy Jones,Sep 1st 2023,Summer SacAnime 2023,Sacramento
Cissy Jones,Aug 4th 2023,Comic Con Honolulu (2023),Honolulu
Cissy Jones,Jul 20th 2023,Comic-Con International: San Diego (2023),San Diego (CA)
Cissy Jones,Feb 10th 2023,Kami-Con (2023),Birmingham (AL)
Cissy Jones,Oct 6th 2022,New York Comic Con (2022),New York
Cissy Jones,Jul 21st 2022,Comic-Con International: San Diego (2022),San Diego (CA)
Cissy Jones,Jul 2nd 2022,AVOX 2022,Canceled
Cissy Jones,Oct 11th 2019,Los Angeles Comic Con (2019),Los Angeles
Kimberly Brooks,Jul 2nd 2022,AVOX 2022,Canceled
Kimberly Brooks,Dec 12th 2021,Voltron: Legendary Defender Virtual Experience – GalaxyCon Live,Online / Virtual Convention
Kimberly Brooks,Dec 3rd 2021,Los Angeles Comic Con (2021),Los Angeles
Kimberly Brooks,Jun 20th 2021,Mass Effect Virtual Experience – GalaxyCon Live,Online / Virtual Convention
Kimberly Brooks,May 1st 2020,VisionCon 2020,Canceled
Kimberly Brooks,Aug 29th 2019,Dragon Con 2019,Atlanta
Kimberly Brooks,Apr 25th 2019,Calgary Expo Comics & Entertainment (2019),Calgary
Kimberly Brooks,Mar 1st 2019,Fan Expo Vancouver 2019,Vancouver
Kimberly Brooks,Oct 26th 2018,Los Angeles Comic Con (2018),Los Angeles
Kimberly Brooks,Sep 21st 2018,MegaCon Tampa Bay (2018),Tampa
Kimberly Brooks,Aug 30th 2018,Fan Expo Canada 2018,Toronto
Kimberly Brooks,Jul 27th 2018,Raleigh Supercon 2018,Raleigh
Kimberly Brooks,Jul 12th 2018,Florida Supercon 2018,Fort Lauderdale (FL)
Kimberly Brooks,May 24th 2018,MomoCon 2018,Atlanta
Mela Lee,Dec 6th 2024,GalaxyCon Columbus (2024),Columbus (Ohio)
Mela Lee,Sep 27th 2024,Animate! Des Moines (2024),Des Moines
Mela Lee,Aug 23rd 2024,Tampa Bay Comic Con (2024),Tampa
Mela Lee,Aug 16th 2024,GalaxyCon San Jose (2024),San Jose
Mela Lee,Jul 25th 2024,GalaxyCon Raleigh 2024,Raleigh
Mela Lee,Jul 6th 2024,Apex Legends – NinjaXchange Collectible Expo,Carlsbad (CA)
Mela Lee,May 17th 2024,Anime Central (2024),Chicago
Mela Lee,May 4th 2024,Saratoga Comic Con – Spring (2024),Saratoga Springs (NY)
Mela Lee,Apr 12th 2024,El Paso Comic Con (2024),El Paso (TX)
Mela Lee,Apr 5th 2024,CyPhaCon 2024,Lake Charles
Mela Lee,Mar 29th 2024,WeebCon 2024,"Dallas (TX), Grapevine (TX)"
Mela Lee,Mar 15th 2024,GalaxyCon Richmond 2024,Richmond (VA)
Mela Lee,Mar 9th 2024,Alamo Hero Con – March (2024),San Antonio
Mela Lee,Feb 24th 2024,Lubbock-Con 2024,Lubbock
Dana Terrace,May 24th 2024,Momocon 2024,Atlanta
Dana Terrace,Aug 4th 2023,Comic Con Honolulu (2023),Honolulu
Dana Terrace,Oct 6th 2022,New York Comic Con (2022),New York
Dana Terrace,Jul 23rd 2021,Comic-Con@Home (2021),Online / Virtual Convention
Dana Terrace,Oct 3rd 2019,New York Comic Con (2019),New York
Roger Craig Smith,Dec 6th 2024,GalaxyCon Columbus (2024),Columbus (Ohio)
Roger Craig Smith,Sep 26th 2024,FanX Salt Lake Comic Convention (2024),Salt Lake City
Roger Craig Smith,Sep 20th 2024,Edmonton Expo Comics & Entertainment (2024),Edmonton
Roger Craig Smith,Aug 22nd 2024,Fan Expo Canada (2024),Toronto
Roger Craig Smith,Aug 16th 2024,Fan Expo Chicago (2024),Chicago
Roger Craig Smith,Jul 20th 2024,605 Pop Culture Con (2024),Sioux Falls
Roger Craig Smith,Jul 12th 2024,Florida Supercon 2024,Miami (FL)
Roger Craig Smith,Jul 4th 2024,Fan Expo Denver (2024),Denver (CO)
Roger Craig Smith,Jun 14th 2024,Fan Expo Boston (2024),Boston
Roger Craig Smith,Jun 7th 2024,Fan Expo Dallas (2024),Dallas (TX)
Roger Craig Smith,May 24th 2024,MCM Comic Con London (2024),London
Roger Craig Smith,May 3rd 2024,Fan Expo Philadelphia (2024),Philadelphia
Roger Craig Smith,Apr 25th 2024,Calgary Expo Comics & Entertainment (2024),Calgary
Roger Craig Smith,Apr 12th 2024,Huntsville Comic & Pop Culture Expo (2024),Huntsville (AL)
Erica Lindbeck,Nov 1st 2024,Rhode Island Comic Con (2024),Providence
Erica Lindbeck,Oct 11th 2024,WasabiCon 2024,Jacksonville (FL)
Erica Lindbeck,Oct 4th 2024,Los Angeles Comic Con (2024),Los Angeles
Erica Lindbeck,Aug 2nd 2024,Otakon (2024),Washington DC
Erica Lindbeck,Jul 12th 2024,Florida Supercon 2024,Miami (FL)
Erica Lindbeck,Jul 4th 2024,Anime Expo 2024,Los Angeles
Erica Lindbeck,Jun 21st 2024,Washington State Summer Con (2024),Puyallup
Erica Lindbeck,May 31st 2024,Des Moines Con (2024),Des Moines
Erica Lindbeck,May 24th 2024,Momocon 2024,Atlanta
Erica Lindbeck,Apr 26th 2024,LVL UP EXPO 2024,Las Vegas (NV)
Erica Lindbeck,Mar 29th 2024,Anime Detour 2024,Minneapolis (MN)
Erica Lindbeck,Mar 7th 2024,Lexington Comic & Toy Con (2024),Lexington (KY)
Erica Lindbeck,Feb 16th 2024,Katsucon 2024,National Harbor
Erica Lindbeck,Jan 5th 2024,SacAnime Winter 2024,Sacramento
Jim Pirri,Sep 13th 2019,Zurich Game Show (2019),Zurich
Rachael MacFarlane,Jul 25th 2024,Comic-Con International: San Diego (2024),San Diego (CA)
Rachael MacFarlane,Apr 20th 2024,RETURN of the BAY-CON (2024),Escanaba
Rachael MacFarlane,Feb 23rd 2024,Pensacon 2024,Pensacola (FL)
Rachael MacFarlane,Oct 21st 2023,Chattanooga Comic Con (2023),Chattanooga
Rachael MacFarlane,Sep 23rd 2023,Superstar Comic Con (2023),Savannah
Rachael MacFarlane,Jul 28th 2023,Terrificon 2023,Uncasville
Rachael MacFarlane,Apr 28th 2023,Maine Comic and Toy Con (2023),Portland (ME)
Rachael MacFarlane,Nov 4th 2022,Rhode Island Comic Con (2022),Providence
Rachael MacFarlane,Jul 22nd 2020,Comic-Con@Home,Online / Virtual Convention
Rachael MacFarlane,Oct 4th 2018,New York Comic Con (2018),New York
Rachael MacFarlane,Sep 21st 2018,MegaCon Tampa Bay (2018),Tampa
Michaela Dietz,Oct 7th 2023,Stellar Con (2023),Bel Air (MD)
Michaela Dietz,Aug 18th 2023,Geek’d Con 2023,Shreveport
Michaela Dietz,Oct 11th 2019,Los Angeles Comic Con (2019),Los Angeles
Michaela Dietz,May 23rd 2019,MomoCon 2019,Atlanta
Michaela Dietz,May 3rd 2019,Fan Expo Dallas (2019),Dallas (TX)
Michaela Dietz,Mar 22nd 2019,Zenkaikon 2019,Lancaster (PA)
Michaela Dietz,Oct 26th 2018,Los Angeles Comic Con (2018),Los Angeles
Michaela Dietz,Aug 30th 2018,Fan Expo Canada 2018,Toronto
Michaela Dietz,Aug 10th 2018,Fan Expo Boston 2018,Boston
Michaela Dietz,May 24th 2018,MegaCon Orlando 2018,Orlando
